	GO_CATEGORY	VAL	p
1410	GO:0050670	9.373383333333344	
1385	GO:0032944	9.29051666666668	
738	GO:0051896	9.199183333333343	
259	GO:2000147	9.165531746031746	
1636	GO:0032680	9.155116666666672	
612	GO:0070848	9.145464285714286	
449	GO:0000302	9.108166666666664	
422	GO:2000116	9.10181666666667	
1812	GO:0070665	9.062833333333339	
552	GO:0045862	9.048383333333346	
1470	GO:0032649	9.042833333333327	
508	GO:0043123	9.01881666666667	
607	GO:0010952	8.99733333333333	
1643	GO:1903555	8.99463333333334	
1447	GO:0002699	8.978221428571421	
2085	GO:0030545	8.953943722943732	
1788	GO:0046328	8.924499999999998	
325	GO:0044403	8.913421428571436	
1625	GO:0032677	8.86455	
3818	GO:2000403	8.853666666666667	
140	GO:0040017	8.848331746031736	
1750	GO:0046330	8.8348	
1702	GO:0002824	8.829049999999997	
2473	GO:0042102	8.8103	
335	GO:0006959	8.772174999999992	
361	GO:0002706	8.772166666666656	
1409	GO:0070663	8.73965555555557	
1790	GO:0032872	8.726754761904765	
1779	GO:0070302	8.6785380952381	
1048	GO:0043281	8.668999999999995	
356	GO:0002703	8.661999999999995	
1692	GO:0002821	8.65955	
631	GO:0022407	8.628666305916349	
868	GO:0034097	8.624010064935042	
928	GO:2001234	8.615171428571436	
536	GO:0045471	8.59875	
163	GO:1902622	8.596333333333334	
396	GO:0050730	8.491702380952374	
646	GO:0071363	8.487391666666651	
2990	GO:0071675	8.454799999999999	
1244	GO:0097190	8.416399999999996	
156	GO:0002274	8.411166666666661	
506	GO:0002696	8.401568253968213	
1798	GO:0051092	8.398499999999995	
702	GO:0010950	8.39105	
271	GO:0140375	8.3883	
593	GO:0050731	8.385500000000016	
590	GO:0051345	8.361091489066538	
1029	GO:1901654	8.351999999999986	
695	GO:0051222	8.331428571428566	
1143	GO:0010638	8.224003751803727	
1076	GO:0043408	8.21932323232326	
1859	GO:0032874	8.209150000000001	
1772	GO:0070304	8.17765	
665	GO:1904951	8.17434285714285	
546	GO:0050867	8.154971428571388	
47	GO:0010942	8.063978571428521	
521	GO:0051251	8.056853968253956	
2496	GO:0002708	8.028933333333335	
3802	GO:1901623	8.025	
680	GO:0043122	7.986266666666678	
871	GO:0033993	7.921149383949412	
223	GO:1902624	7.904333333333334	
337	GO:0002697	7.895342857142823	
1103	GO:0051054	7.867595238095221	
1061	GO:0010951	7.838835714285715	
379	GO:2001056	7.828600000000003	
2301	GO:0009416	7.808413095238107	
1511	GO:0051209	7.782416666666667	
884	GO:0001666	7.781042857142878	
985	GO:0045834	7.778200000000001	
1503	GO:0051283	7.777916666666667	
714	GO:1903829	7.763266666666692	
971	GO:0030100	7.7566000000000015	
457	GO:0009612	7.754499999999987	
800	GO:0010466	7.730835714285715	
302	GO:0002920	7.707999999999998	
874	GO:0036293	7.667342857142874	
378	GO:0031347	7.637701226551195	
509	GO:0042110	7.628703968253951	
1505	GO:0097553	7.567333333333332	
1329	GO:0050673	7.550200000000001	
2474	GO:0002705	7.532133333333339	
296	GO:0002889	7.531333333333331	
365	GO:0002712	7.531333333333331	
451	GO:1901214	7.5212166666666445	
843	GO:0045861	7.440035714285696	
839	GO:0048545	7.4245277777777625	
147	GO:0045321	7.4169509157509435	
758	GO:0051347	7.396927272727253	
959	GO:0043254	7.388128571428568	
693	GO:0010035	7.377412698412672	
926	GO:2001242	7.3606000000000025	
