	abstract	1	2	3	4	5	6	7	8	9	10
1035	15009027.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1043	15017387.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1055	15044490.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1063	15056216.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1066	15057743.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1076	15072852.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1086	15096504.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1143	15189447.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1170	15218026.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1175	15226292.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1212	15289569.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1232	15329370.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1234	15337745.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1235	15337781.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1247	15364949.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1257	15383594.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1279	15470061.txt	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
1285	15489237.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
1314	15557185.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1316	15557597.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1323	15567179.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1358	15623156.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1373	15637052.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
1440	15731037.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1442	15732867.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1463	15773976.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1471	15790758.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1494	15817483.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1504	15843429.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1536	15879129.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1541	15882443.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1544	15886812.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1545	15887115.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1553	15901741.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1561	15911144.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
1573	15932345.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
1577	15936768.txt	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1585	15944150.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
1587	15946680.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1606	15967797.txt	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
1618	15985221.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1643	16020535.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1663	16049003.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1664	16055086.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1716	16166092.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1733	16194235.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1743	16221674.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1745	16223727.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1759	16246929.txt	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
1779	16272704.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1781	16275761.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
